trips,routes
1801_0,2032
3756_0,2043
2550_0,2050
5307_2,2051
1816_1,2052
5042_67,2054
5196_1,2059
5293_4,2065
1542_7,2071
4104_7,2072
1072_5,2076
1535_0,2080
1070_36,2081
4499_3,2082
3486_15,2085
2995_9,2086
4308_12,2090
2011_9,2091
5032_17,2093
1826_75,2094
2735_1,2095
1534_20,2098
2747_7,2100
1069_13,2108
4401_31,2110
5476_0,2111
1230_45,2112
3031_2,2113
4056_7,2114
4181_46,2115
5558_0,2116
2708_14,2117
4876_0,2118
1558_3,2122
1330_22,2123
2013_100,2124
3105_47,2125
1858_9,2126
2267_8,2127
1233_0,2129
2997_45,2132
1826_0,2136
5085_8,2138
3192_22,2140
4373_9,2141
4671_11,2142
2080_13,2143
4695_6,2144
1550_93,2152
2383_19,2153
5266_63,2155
1059_26,2157
3032_69,2159
1228_54,2160
1982_1,2161
4693_13,2162
2267_9,2163
3770_20,2165
1774_6,2166
1366_42,2168
2115_25,2169
3921_32,2172
4275_96,2186
1595_3,2196
4808_48,2197
1482_42,2200
4327_83,2201
5429_1,2205
1084_67,2210
4858_33,2211
4349_3,2217
4543_28,2222
3866_27,2223
1330_16,2224
4934_0,2225
1415_93,2227
1678_1,2228
5064_11,2230
3174_53,2236
5308_24,2237
1072_2,2238
4808_94,2239
3013_9,2243
1550_81,2247
1165_3,2249
1831_1,2251
4051_87,2254
3620_1,2255
5028_1,2258
1413_47,2259
3769_1,2261
1537_45,2262
4836_17,2264
2123_7,2266
1550_15,2267
1470_50,2268
1939_13,2269
4094_15,2273
5042_59,2274
4807_1,2275
2143_21,2276
1366_11,2283
2159_0,2284
1808_12,2285
5266_49,2287
4855_13,2293
3013_13,2294
4400_6,2297
4401_11,2298
3318_14,2299
4890_0,2300
4275_88,2301
2300_3,2302
2111_20,2303
2772_14,2304
4731_57,2305
4401_39,2306
2551_59,2308
4699_7,2317
1328_9,2319
4723_52,2324
1414_2,2338
1312_1,2339
1418_69,2340
3269_7,2348
1470_54,2353
5382_10,2357
4367_0,2360
1405_1,2377
3922_82,2380
1230_68,2382
3463_9,2383
1420_0,2386
3431_34,2388
1394_13,2389
2626_13,2393
2632_10,2394
2608_10,2395
4700_4,2396
1621_5,2398
4401_3,2399
2013_57,2403
2284_6,2404
1366_43,2405
2739_26,2407
3428_55,2409
1595_4,2411
3776_31,2413
1420_58,2418
4094_3,2420
3431_40,2423
1184_4,2425
3497_35,2426
4401_102,2427
4693_65,2432
5100_2,2435
1355_7,2437
5122_46,2438
3563_0,2440
3866_59,2451
5601_0,2455
1427_41,2458
5042_11,2467
2123_20,2480
5010_10,2494
3428_11,2498
4467_90,2499
1081_7,2500
1431_22,2501
1464_0,2503
1808_11,2504
5266_13,2506
3299_1,2508
1180_15,2509
1328_25,2511
3759_8,2512
5144_57,2513
4371_14,2514
1826_69,2515
2284_18,2518
1179_21,2519
2205_1,2520
5370_7,2522
2632_36,2525
4582_0,2527
1558_6,2531
5047_21,2532
2767_0,2535
4626_0,2539
1784_78,2540
1934_10,2541
1975_18,2544
2617_1,2546
1415_87,2548
3572_0,2550
2143_24,2551
1550_84,2552
1223_24,2553
1774_5,2559
4272_74,2560
1364_68,2561
4272_30,2582
5141_0,2591
5146_9,2592
1959_24,2596
4467_41,2602
3903_2,2605
4051_4,2607
2100_32,2608
3225_1,2609
5184_6,2610
5440_6,2611
5316_0,2613
4056_16,2617
1397_14,2618
3503_13,2619
5042_26,2620
2127_0,2621
1285_8,2622
2394_13,2626
1182_2,2627
4401_74,2628
5293_9,2629
2273_0,2630
4138_4,2632
1601_32,2633
1443_13,2639
3834_1,2642
5156_1,2644
4467_28,2645
1429_6,2657
3816_13,2658
2228_10,2660
4056_17,2667
1730_16,2677
4693_68,2686
3921_11,2687
5065_11,2689
3428_9,2690
3956_14,2700
4322_16,2701
1858_14,2703
5053_6,2704
5105_41,2707
4094_26,2708
4856_30,2710
3759_34,2711
4467_74,2715
4372_11,2721
2111_29,2726
3900_3,2727
1081_1,2728
5341_31,2729
4004_5,2730
1336_16,2733
3372_7,2735
4264_2,2736
1525_0,2737
1576_1,2739
2531_32,2740
2532_27,2746
1486_33,2747
3818_0,2750
3269_10,2751
1415_8,2752
5064_6,2757
3280_7,2760
3939_18,2761
