stop_id,lat,long,g_id,boundary_g_id,lower_cut_stops_0,lower_cut_stops_1,lower_cut_stops_2,lower_cut_stops_3
133,46.98514074400121,6.87668434926775,2,-1,0,0,0,0
134,47.42542599644771,9.56039227779555,1,-1,0,0,0,0
135,47.07650140562839,7.30629465080487,2,-1,0,0,0,0
136,47.2147899451297,7.501345848472899,2,-1,0,0,1,0
137,47.428130434627,8.27634041049637,1,-1,0,1,0,0
138,47.560307977509204,8.911655928972651,1,-1,0,1,0,0
139,47.4563333905877,7.82888058426131,2,-1,0,0,1,0
140,46.2310514401009,7.40376185914541,2,-1,0,0,1,0
141,47.40864929879001,9.64911887842039,1,-1,0,1,0,0
142,46.79929365872789,9.5313856772673,1,-1,0,1,0,0
143,46.686597490362,7.8454724675613,2,-1,0,0,1,0
144,47.14007546971249,8.633142258245469,1,-1,0,1,0,0
145,47.3519580479214,7.9224580874210595,1,-1,0,1,0,0
146,47.507305764076904,8.75940945459888,1,-1,0,0,0,0
147,47.04829126228989,9.42924722944869,1,-1,0,0,0,0
148,47.576818141969795,8.530913978898441,1,-1,0,1,0,0
149,47.424909402562896,9.387529467648367,1,-1,0,0,0,0
150,46.003805035339795,8.95305928042349,3,-1,0,0,0,1
151,47.3742829411653,9.28127673582792,1,-1,0,0,0,0
152,47.136121883990796,7.4343494945739295,2,-1,0,0,1,0
153,47.34181776018099,8.53104872619107,0,-1,0,0,0,0
154,46.675719864905005,7.6354822867162895,2,-1,0,0,1,0
155,46.7830996626626,9.810635966527562,1,-1,0,1,0,0
156,47.0539222445296,8.29951694482988,3,-1,0,0,0,1
157,47.152026098785285,8.56312756499145,1,-1,0,1,0,0
158,47.303880933277796,7.8536740861064605,1,-1,0,1,0,0
159,47.4814675672904,7.61814480173037,2,-1,0,0,1,0
160,48.2801021400465,8.087972678543121,1,-1,0,1,0,0
161,47.4936568655338,7.724460415620719,2,-1,0,0,1,0
162,47.1533883976414,7.26738861584424,2,-1,0,0,0,0
163,47.3318703515814,8.47423028446261,0,-1,0,0,0,0
164,47.477745868324796,8.30826653569842,0,-1,1,0,0,0
165,47.0382458277605,8.18188255835805,-1,"[2, 3]",0,0,0,1
166,46.3019769421338,7.70382611354162,2,-1,0,0,1,0
167,47.026128799196904,6.888928386591999,2,-1,0,0,0,0
168,47.4643018431668,8.98313487613999,1,-1,0,1,0,0
169,47.538249941865395,7.72380464546322,1,-1,0,1,0,0
170,46.71646425455461,9.20004208467369,1,-1,0,1,0,0
171,46.8148249827956,7.15543158196884,2,-1,0,0,1,0
172,47.7073580821837,8.808044244087881,1,-1,0,1,0,0
173,47.41371326384629,8.269010157776929,0,-1,1,0,0,0
174,47.696959781103494,8.69359887687513,1,-1,0,1,0,0
175,46.227447136119096,9.04648406998492,3,-1,0,0,0,1
176,46.750463161006095,6.53074313330517,2,-1,0,0,1,0
177,47.023875304076796,8.939907944662151,1,-1,0,1,0,0
179,47.49263715220121,7.59852559592247,2,-1,0,0,1,0
180,47.3511607729325,7.8926879189012,1,-1,0,1,0,0
181,48.640580370276794,9.803395545336553,1,-1,0,1,0,0
182,47.5068021105608,7.72119054798607,2,-1,0,0,1,0
183,46.63246504603661,10.007735323043699,1,-1,0,1,0,0
184,47.3034849800846,7.99494314770676,1,-1,0,1,0,0
185,46.939656299795104,7.776742365163749,2,-1,0,0,1,0
186,46.8617114518625,8.648144123492349,1,-1,0,1,0,0
187,46.326535089400394,7.99894963387449,2,-1,0,0,1,0
188,45.9949750234487,8.823567132199631,3,-1,0,0,0,1
189,47.299598389787995,9.086459100133801,1,-1,0,1,0,0
190,47.128036588759784,8.79470426211685,1,-1,0,1,0,0
191,46.354696993997706,8.63397769145982,3,-1,0,0,0,1
192,47.4183391016379,7.81058190192124,2,-1,0,0,1,0
193,46.486611926884784,8.82937024893585,3,-1,0,0,0,1
194,45.847684121662596,8.96375821545884,3,-1,0,0,0,1
195,46.1733666153279,7.44321586642943,2,-1,0,0,1,0
196,47.1954314288451,8.72448295634746,1,-1,0,1,0,0
197,47.3373495722346,9.591554835005999,1,-1,0,0,0,0
198,47.1211603706849,7.24183154600748,2,-1,0,0,0,0
199,47.13346970039621,7.243313766226491,2,-1,0,0,0,0
200,46.985441024916,6.8834666296638,2,-1,0,0,0,0
201,47.488661295057106,8.593652318350081,0,-1,1,0,0,0
202,46.0685361750762,8.96583332376544,3,-1,0,0,0,1
203,46.61408592658749,7.37322812263394,2,-1,0,0,1,0
204,47.4476043627229,9.543126658032367,1,-1,0,0,0,0
205,47.4835195495589,7.7486879788367915,2,-1,0,0,1,0
206,46.1727383269855,8.80101941856509,3,-1,0,0,0,1
207,46.101683053882894,7.047624764706651,2,-1,0,0,1,0
208,46.570615076134395,6.458051460504099,3,-1,0,0,0,0
209,47.63786171206039,8.68514573005039,1,-1,0,1,0,0
210,46.968775948129604,9.691663090282212,1,-1,0,1,0,0
211,46.8212550890732,7.14519977088129,2,-1,0,0,1,0
212,47.64928848190461,9.18195899800184,1,-1,0,1,0,0
213,47.3411177284676,8.39402869588525,0,-1,0,0,0,0
214,47.5243057859195,9.20151532173985,1,-1,0,1,0,0
215,46.47200690599421,7.28711561948625,2,-1,0,0,1,0
216,47.0423597261746,8.31718680647097,3,-1,0,0,0,1
217,46.876782625048286,8.681812980345839,1,-1,0,1,0,0
218,46.508960346369285,6.495789685595208,3,-1,0,0,0,0
219,47.4738903230491,8.29982237202652,0,-1,1,0,0,0
220,46.34276670055161,6.15917298228309,2,-1,0,0,1,0
221,46.9926104968038,6.91474596786119,2,-1,0,0,0,0
222,46.945494989123105,7.03029626287357,2,-1,0,0,1,0
223,46.1589203897651,8.97393612762933,3,-1,0,0,0,1
224,46.2158496145732,10.166108307656,1,-1,0,1,0,0
225,47.0757611566137,7.95223723909377,2,-1,0,0,1,0
226,47.3183403300622,8.79226982769655,-1,"[0, 1]",1,0,0,0
227,46.46970537620261,7.3062048192764495,2,-1,0,0,1,0
228,47.415628081737786,9.36533209697469,1,-1,0,0,0,0
229,46.9685613950769,7.444239945853468,2,-1,0,0,0,0
230,47.5383530383875,7.55599036721349,2,-1,0,0,1,0
231,47.405506112808,8.39027373799711,0,-1,0,0,0,0
232,47.229487200623595,8.67495883472705,1,-1,0,1,0,0
233,47.437470312997704,9.405944930975382,1,-1,0,0,0,0
234,47.405694587659795,9.31597865525829,1,-1,0,0,0,0
235,46.2167384716578,7.00204424718408,2,-1,0,0,1,0
236,47.2879064375282,8.19899546452291,1,-1,0,1,0,0
