service_id,date,exception_type
70b345d6-388a-46a7-91ad-022a6e9ad54b,20201225,2
02d8b020-a7c1-4ded-a15f-2cab457c9084,20201225,2
9eab2de1-3d35-4c0a-96ed-56dee27a5cc4,20201225,2
bf65d95d-63af-4dc1-8302-524c99f2797a,20201225,2
0fca44a5-ed8f-43b8-bfc4-b63b77dc2092,20201225,2
098b5451-5153-41d7-8474-ed680476a2d3,20201225,2
a29da8f5-b3d3-4cfe-aa29-c6a9f4d86533,20201225,2
0681b768-b5e9-4782-b0e9-5f6c0a1a46bd,20201225,2
24653fca-448c-44d4-9e5e-5d278fbae06f,20201225,2
abd1b182-2be1-427c-b884-169af147136b,20201225,2
412c6874-ae37-40db-a9bb-89e95fb0eded,20201225,2
5db0e3f2-b1d8-4fc1-a7eb-1ca09eb7e319,20201225,2
53948ff0-18eb-4964-bb6b-582985956e8d,20201225,2
c2e3dfd0-a8e9-44a9-bab7-8634815fa602,20201225,2
fdc67aa9-b021-4e43-8919-8186c4e4f29b,20201225,2
1b114884-0c3c-48b4-b740-920270913e25,20201225,2
1b114884-0c3c-48b4-b740-920270913e25,20210101,2
d66bccde-250a-4339-a625-c5bc1fdde753,20201225,2
f2dd277e-e9bf-47d4-97a9-ebfd717d41e5,20201225,2
210c6379-fb97-4ca3-af09-8d6e7918f4c4,20201225,2
43221da5-7560-42b3-83c1-dbbfdb56bbbc,20201225,2
34a98f71-1996-4b71-9a94-96e10a9f0afc,20201225,2
f6173c94-bd33-46ca-8b87-51d4dc4d7d02,20201225,2
19556c44-51e6-4714-bd26-7508a3b49022,20201225,2
2aaec339-8ac3-47df-a300-4e9d090c7000,20201225,2
022f4234-a772-40d2-a0e4-c9be588a46f9,20201225,2
16537303-d1a3-4d17-aa0b-b8a2b9c22d8b,20201225,2
597ecda9-2908-4abe-bc8c-52a2a041bfc4,20201225,2
dd92e8ff-2941-4593-bcfe-043b5ccacd65,20201225,2
7c1e9d27-cc33-4d71-9300-bcd8b8b1575c,20201225,2
30b47ecf-448a-4b1f-bd8c-2f308f21d6c0,20201225,2
30b47ecf-448a-4b1f-bd8c-2f308f21d6c0,20210101,2
e4d7c55e-577c-4326-95f2-caec73051385,20201225,2
e4d7c55e-577c-4326-95f2-caec73051385,20210101,2
c1cc0c56-9000-40df-9013-7f67b9f55a15,20201225,2
183a473e-dc04-4afb-9b0a-8f3abd11f9d0,20201225,2
95b02962-0989-4221-b0f7-215f95092ea9,20201225,2
1fe74d27-b6cd-4a86-9929-f8e88cbabac2,20201225,2
44cd59fa-8ab4-4629-a842-29aed4a0360e,20201225,2
b6138b79-a1f1-4ef7-8dd4-3b1507d3ceb6,20201225,2
3f3eee7d-434b-4af7-8840-9178a74931bd,20201225,2
1a41f18d-bde8-4482-b7b4-e38ac26388c1,20201225,2
16b7f2cf-d0e7-407d-aef4-77cef1b40f4b,20201225,2
5938a79f-792a-4ab8-8fe8-288547380cd1,20201225,2
a61c5b01-a868-42ab-b1f0-7604af1c946b,20201225,2
7ff8db8f-8268-4524-a9f8-3af66371e16c,20201225,2
231973d5-267a-4bb0-9957-88e52e13d0aa,20201225,2
b7d34c12-1945-482c-9fb8-d22a32162537,20201225,2
