stop_name,stop_lat,stop_lon,stop_id
"Pontresina, Post",46.4880901497136,9.90654010627351,1
"Gün, Abzw. (Safien)",46.7055988044782,9.32572537609235,2
"Givisiez, Colombière",46.8115604567658,7.13233589601091,3
"Morges, hôpital",46.5235121800776,6.50002973373684,4
"Zuzgen, Niederhofen",47.5265198729679,7.89595778653585,5
"Laufen, Wandplattenfabrik",47.4136160013968,7.50587335750549,6
"Konolfingen, Grünegg",46.8836965065958,7.62393893531375,7
"Zürich, Grünaustrasse",47.395230172966,8.4892141834038,8
"Sils im Domleschg, Cumparduns",46.7079396191637,9.45466056883997,9
"Tiefencastel, Dorf",46.6625405219661,9.57742433558483,10
"Andiast, S. Clau",46.7818201723613,9.10871036972454,11
"Le Locle, rue du Midi",47.0539406054557,6.745817778659,12
"Amriswil, Bahnhof",47.5502684175067,9.30219849879798,13
Stein am Rhein,47.6561687576546,8.85500816714819,14
"Röthenbach i.E., Feldmatt",46.8586463394053,7.7479693266094,15
"Zug, Pulverhüsli",47.1824221026626,8.50768354564787,16
"Zürich, Untermoosstrasse",47.3798307535834,8.48338411720906,17
"Nesslau-Neu St.Johann, Bahnhof",47.2268396771631,9.19786816168581,18
"Vezio, Busgnone",46.0480586542879,8.88499393133628,19
Geislingen (Steige),48.6195332453246,9.84194225418349,20
"Elsau, Bettli",47.4944034288114,8.80887967730223,21
"Salins, La Courtaz",46.2115667378662,7.34699731633399,22
"Gersau, Rotschuo",46.9937685520418,8.48823501974398,23
"Echichens, village",46.5270475511873,6.50011058211243,24
"Rorschach Stadt, Bahnhof",47.4757908082802,9.49084470848934,25
"Dübendorf, Kreuzbühl",47.3881513777641,8.6215090753145,26
"Gansingen, Oberbüren",47.5311054656123,8.13888918885411,27
"Röthenbach i.E., Chuderhüsi",46.8702609008092,7.72649959131595,28
"Bassecourt, école secondaire",47.3384270853976,7.23818438595345,29
"Torgon, Le Chêne",46.309119672157,6.88741921691447,30
"St. Gallen, Blumenberg",47.4264227044394,9.37380321010511,31
"Leysin, En Crettaz",46.3461959964602,7.02666706912522,32
"Grub AR, Krähtobel",47.4443298443167,9.50427452198879,33
Ludwigsburg Pbf,48.8919239183402,9.18542649499903,34
Saanen,46.4885725735741,7.26027395879302,35
"Oberrickenbach, Talstat. LFCH",46.8834017944791,8.42064577775741,36
"Neuheim, Felderhus",47.2004548247179,8.57344920760742,37
"Schübelbach, Gramatt",47.174435446617,8.93415872684298,38
"La Tour-de-Peilz, Bulesses",46.4569771493768,6.86934511339547,39
"Präz, Dalin",46.7349132605882,9.40420219932395,40
Wilen (Sarnen),46.8808475549825,8.22431897238577,41
"Verbier, station poste",46.0966811452039,7.22829393467392,42
"Gossau ZH, Ernst-Brugger-Platz",47.3016026389596,8.76303864834723,43
Bern Brünnen Westside,46.9439311169196,7.37468339339441,45
"Adliswil, Baumgartenweg",47.3096919666525,8.52576663231972,46
"Maienfeld, Heidibrunnen",47.0176287062145,9.52631019591131,47
"Zuchwil, Buchenweg",47.2009980310128,7.55190303267018,48
"Finsterwald LU, Entlematt",46.9659376481363,8.11064615631746,49
"Ardon, Arnica",46.2076938346613,7.25367134145383,50
"Fribourg, Industrie",46.7963418311978,7.15531480098189,51
"Luzern, Oberseeburghöhe",47.0512353608601,8.34834038052857,52
Chur,46.8531422113234,9.52892429338847,53
"Glaubenbielen, Parkplatz",46.8183536449241,8.08594248600073,54
"Sevelen, Abzw. Bad Rans",47.1406559560026,9.48547278308956,55
"Bern, Zytglogge",46.9485796697653,7.44750083033528,56
Aareschlucht Ost MIB,46.7119988439719,8.21789601810342,57
Chur West,46.8499967419752,9.51271868566069,58
"Breitenbach, Grien",47.4070686097487,7.53997340569541,59
"Gasenried, Erbji",46.1829455683062,7.82817091518675,60
"Mühledorf BE, Müliacher",46.8311876613308,7.53622743096011,61
"Hitzkirch, Bahnhof",47.222514290991,8.2523464092542,62
"Törbel, Oberbrunnen",46.2330958452586,7.85830040982032,63
"Grandfontaine, bas du village",47.3907300180676,6.93904539630001,64
"Brittnau, Ausserdorf",47.2600827278941,7.94267018131657,65
"Schattdorf, Chastelen",46.8586463394053,8.64021199953247,66
"Luzern, Verkehrshaus/Lido",47.0540691317615,8.3351620953087,67
"Biel/Bienne, Falkenstrasse",47.1476762830433,7.25738138357776,68
"Wetzikon ZH, Haldenstrasse",47.3274743880315,8.7851911032567,69
Urspring,48.5502622200229,9.89456556353453,70
Vechigen,46.9468809710058,7.5564574911613,71
"Lohn GR, spv. Lohn",46.6451151870981,9.4216295158383,72
Worblaufen,46.9792083180832,7.45762484358871,73
Gisikon-Root,47.1213865359926,8.39477429757117,74
Hünenberg Chämleten,47.1692141620594,8.44989492341242,75
"Oberhallau, Trottengasse",47.7043113529804,8.47862304620256,76
Hurden,47.2142102687317,8.80073195767413,77
"Losone, Via Cesura",46.167475352674,8.76158337758676,78
Weberei Matzingen,47.5272235084599,8.92220215040969,79
"Fornasette, Villaggio vacanze",45.9943883861716,8.79172185537316,80
Schwenningen (Neckar),48.0598948889693,8.53585471296178,81
Weiler(Rems),48.8004173757424,9.50199280116681,82
Farvagny-le-Grand,46.7217914679174,7.06568988507281,83
"Bellikon, Abzw. Hausen",47.3947072017262,8.33914163201791,84
"Süderen, Dorf",46.8180093953976,7.75352989821887,85
"Corsier-sur-Vevey, Riant-Mont",46.4714315326704,6.84727350686158,86
"Hohenrain, Günikon",47.184638369935,8.31405168612895,87
"Chur, Calunastrasse",46.8623748199013,9.53794337884228,88
La Neuveville,47.0628877445755,7.09521750846593,89
